cod;nome;período;de-homens-por-armas-de-fogo;de-jovens-homens;de-jovens-mulheres;de-jovens-por-armas-de-fogo;de-jovens;de-mulheres-por-armas-de-fogo;homens-nao-negros;homens-negros;homens;homicidios;mulheres-nao-negras;mulheres-negras;mulheres;nao-negros;negros;por-armas-de-fogo
42;SC;2021;238.0;265;25;180.0;290.0;33.0;451.0;161.0;620.0;712.0;79.0;11.0;92.0;530.0;172.0;375
28;SE;1979;;21;4;;;;;;;;;;;;;22
28;SE;1980;;26;6;;;;;;;;;;;;;30
28;SE;1981;;32;3;;;;;;;;;;;;;36
28;SE;1982;;35;6;;;;;;;;;;;;;34
28;SE;1983;;34;5;;;;;;;;;;;;;42
28;SE;1984;;16;2;;;;;;;;;;;;;23
28;SE;1985;;22;5;;;;;;;;;;;;;33
28;SE;1986;;22;5;;;;;;;;;;;;;33
28;SE;1987;;23;1;;;;;;;;;;;;;22
28;SE;1988;;25;2;;;;;;;;;;;;;31
28;SE;1989;66.0;59;5;3946.0;64.0;5.0;;;124.0;139.0;;;15.0;;;71
28;SE;1990;69.0;80;8;5488.0;88.0;6.0;;;138.0;151.0;;;13.0;;;75
28;SE;1991;168.0;118;13;4677.0;131.0;8.0;;;287.0;317.0;;;21.0;;;179
28;SE;1992;295.0;199;9;4164.0;212.0;7.0;;;420.0;461.0;;;28.0;;;312
28;SE;1993;155.0;151;8;5077.0;159.0;10.0;;;286.0;312.0;;;25.0;;;165
28;SE;1994;190.0;167;14;5980.0;181.0;21.0;;;307.0;344.0;;;32.0;;;213
28;SE;1995;121.0;113;11;7333.0;124.0;10.0;;;227.0;255.0;;;27.0;;;132
28;SE;1996;137.0;108;13;7017.0;121.0;14.0;0.0;0.0;207.0;238.0;0.0;0.0;30.0;0.0;0.0;152
28;SE;1997;109.0;97;9;7600.0;106.0;8.0;14.0;47.0;172.0;190.0;3.0;3.0;18.0;17.0;50.0;117
28;SE;1998;99.0;84;3;8310.0;87.0;6.0;12.0;79.0;162.0;175.0;2.0;5.0;13.0;14.0;84.0;105
28;SE;1999;194.0;149;18;9347.0;168.0;21.0;32.0;101.0;288.0;329.0;7.0;12.0;40.0;39.0;114.0;216
28;SE;2000;633.0;208;10;157.0;218.0;18.0;62.0;171.0;373.0;410.0;5.0;15.0;37.0;67.0;186.0;279
28;SE;2001;687.0;291;7;228.0;298.0;19.0;80.0;256.0;487.0;518.0;6.0;15.0;31.0;86.0;271.0;366
